epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,636.841,1.09739,1.62636,1.10271,0.92523,0.95918,0.97779,0.70139,0.98096,1.51123,1.11422,0.0011882,0.0011882,0.0011882
43,651.712,1.07381,1.45347,1.15938,0.97866,0.93584,0.98753,0.70109,1.00156,1.56453,1.09172,0.0011684,0.0011684,0.0011684
44,666.194,0.98753,1.47297,1.09983,0.85875,1,0.90588,0.68702,0.924,1.73976,1.07366,0.0011486,0.0011486,0.0011486
45,680.89,1.06627,1.5424,1.13335,0.91204,0.93878,0.97196,0.7215,0.87684,1.37932,1.06155,0.0011288,0.0011288,0.0011288
46,695.574,1.07454,1.46616,1.06884,0.91204,0.93878,0.97196,0.7215,0.87684,1.37932,1.06155,0.001109,0.001109,0.001109
47,710.167,1.09516,1.44951,1.10935,0.91868,0.87755,0.97185,0.72497,0.89737,1.36711,1.05425,0.0010892,0.0010892,0.0010892
48,724.922,0.95548,1.49873,1.02219,0.94028,0.89796,0.98252,0.71621,0.89593,1.37861,1.04724,0.0010694,0.0010694,0.0010694
49,739.397,0.95661,1.36745,1.07569,0.90503,0.97254,0.97896,0.68218,0.97118,1.44302,1.0765,0.0010496,0.0010496,0.0010496
50,753.813,1.04594,1.50005,1.02922,0.90503,0.97254,0.97896,0.68218,0.97118,1.44302,1.0765,0.0010298,0.0010298,0.0010298
51,768.185,1.06098,1.37821,1.09189,0.90165,0.95918,0.9585,0.67367,0.96237,1.38746,1.11811,0.00101,0.00101,0.00101
52,782.304,1.03418,1.36753,1.10716,0.96135,0.93878,0.97583,0.69404,0.91673,1.4476,1.13287,0.0009902,0.0009902,0.0009902
53,796.52,0.81462,1.53199,0.902,0.95183,0.95918,0.98715,0.73227,0.82827,1.35078,1.0918,0.0009704,0.0009704,0.0009704
54,810.765,1.04007,1.35486,1.14218,0.94201,0.99463,0.99188,0.74977,0.84888,1.26636,1.06735,0.0009506,0.0009506,0.0009506
55,824.894,0.96526,1.26999,1.04158,0.94201,0.99463,0.99188,0.74977,0.84888,1.26636,1.06735,0.0009308,0.0009308,0.0009308
56,839.34,1.0614,1.36277,1.09924,0.93203,0.97959,0.98504,0.7172,0.91804,1.25873,1.04207,0.000911,0.000911,0.000911
57,853.452,0.97903,1.27481,1.09542,0.95971,0.97224,0.98384,0.72539,0.8815,1.20129,1.03473,0.0008912,0.0008912,0.0008912
58,867.678,1.03197,1.40292,1.16012,0.95777,0.97959,0.98284,0.75053,0.84302,1.19504,1.02523,0.0008714,0.0008714,0.0008714
59,881.665,1.02961,1.51228,1.08187,0.95777,0.97959,0.98284,0.75053,0.84302,1.19504,1.02523,0.0008516,0.0008516,0.0008516
